None  1     -1    2     m     2/m   222   mm2   mmm   4     -4    4/m   422   4mm   -42m  4/mmm 3     -3    32    3m    -3m   6     -6    6/m   622   6mm   -6m2  6/mmm 23    m-3   432   -43m  m-3m
1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
-1    1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
2     1     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
m     1     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
2/m   1     1     2     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
222   1     0     3     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
mm2   1     0     2     2     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
mmm   1     1     3     3     3     6     6     6     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
4     1     0     2     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
-4    1     0     2     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
4/m   1     1     2     2     2     0     0     0     2     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
422   1     0     3     0     0     6     0     0     1     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
4mm   1     0     2     2     0     0     4     0     2     0     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
-42m  1     0     3     1     0     6     2     0     0     1     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
4/mmm 1     1     3     3     3     6     6     6     1     1     1     2     2     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
-3    1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
32    1     0     2     0     0     0     0     0     0     0     0     0     0     0     0     1     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0
3m    1     0     0     2     0     0     0     0     0     0     0     0     0     0     0     2     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0
-3m   1     1     2     2     2     0     0     0     0     0     0     0     0     0     0     1     1     2     2     2     0     0     0     0     0     0     0     0     0     0     0     0
6     1     0     2     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0
-6    1     0     0     2     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0
6/m   1     1     2     2     2     0     0     0     0     0     0     0     0     0     0     2     2     0     0     0     2     2     2     0     0     0     0     0     0     0     0     0
622   1     0     3     0     0     6     0     0     0     0     0     0     0     0     0     1     0     2     0     0     1     0     0     2     0     0     0     0     0     0     0     0
6mm   1     0     2     2     0     0     4     0     0     0     0     0     0     0     0     2     0     0     4     0     2     0     0     0     4     0     0     0     0     0     0     0
-6m2  1     0     2     2     0     0     4     0     0     0     0     0     0     0     0     1     0     2     2     0     0     1     0     0     0     2     0     0     0     0     0     0
6/mmm 1     1     3     3     3     6     6     6     0     0     0     0     0     0     0     1     1     2     2     2     1     1     1     2     2     2     2     0     0     0     0     0
23    1     0     1     0     0     2     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0
m-3   1     1     1     1     1     2     2     2     0     0     0     0     0     0     0     2     2     0     0     0     0     0     0     0     0     0     0     2     2     0     0     0
432   1     0     2     0     0     4     0     0     1     0     0     2     0     0     0     1     0     2     0     0     0     0     0     0     0     0     0     1     0     1     0     0
-43m  1     0     1     1     0     2     2     0     0     1     0     0     0     2     0     2     0     0     4     0     0     0     0     0     0     0     0     2     0     0     2     0
m-3m  1     1     2     2     2     4     4     4     1     1     1     2     2     2     2     1     1     2     2     2     0     0     0     0     0     0     0     1     1     1     1     1
D5h   1     0     2     2     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
C12v  1     0     2     2     0     0     4     0     2     0     0     0     4     0     0     2     0     0     4     0     2     0     0     0     4     0     0     0     0     0     0     0
C_v   1     0     2     1     0     0     2     0     2     0     0     0     2     0     0     2     0     0     2     0     2     0     0     0     2     0     0     0     0     0     0     0
